ID,employeeTravelRequest_ID,travelStartDate,travelEndDate,travelDestination,rejectionReason,travelPurpose_travel,travelStatus_status,estimatedCost,approver_ID,actualCost,managed
550e8400-e29b-41d4-a716-446655440401,550e8400-e29b-41d4-a716-446655440201,2026-06-01,2026-06-05,Bangalore,,CLIENT_MEETING,APPROVED,12000,550e8400-e29b-41d4-a716-446655440202,11500,2026-05-20T10:00:00
550e8400-e29b-41d4-a716-446655440402,550e8400-e29b-41d4-a716-446655440203,2026-06-10,2026-06-12,Delhi,,TRAINING,PENDING,8000,550e8400-e29b-41d4-a716-446655440204,0,2026-05-21T11:00:00
550e8400-e29b-41d4-a716-446655440403,550e8400-e29b-41d4-a716-446655440205,2026-07-01,2026-07-04,Mumbai,Budget exceeded,CONFERENCE,REJECTED,20000,550e8400-e29b-41d4-a716-446655440206,0,2026-06-10T14:00:00
550e8400-e29b-41d4-a716-446655440404,550e8400-e29b-41d4-a716-446655440207,2026-08-15,2026-08-18,Hyderabad,,BUSINESS_MEETING,APPROVED,15000,550e8400-e29b-41d4-a716-446655440208,14800,2026-07-25T09:00:00
550e8400-e29b-41d4-a716-446655440405,550e8400-e29b-41d4-a716-446655440209,2026-09-01,2026-09-03,Pune,,OFFICE_VISIT,PENDING,7000,550e8400-e29b-41d4-a716-446655440210,0,2026-08-20T15:00:00
550e8400-e29b-41d4-a716-446655440406,550e8400-e29b-41d4-a716-446655440201,2026-10-05,2026-10-08,Chennai,,TEAM_EVENT,APPROVED,9000,550e8400-e29b-41d4-a716-446655440202,8500,2026-09-15T10:30:00
550e8400-e29b-41d4-a716-446655440407,550e8400-e29b-41d4-a716-446655440203,2026-11-11,2026-11-13,Kolkata,,AUDIT,PENDING,11000,550e8400-e29b-41d4-a716-446655440204,0,2026-10-25T13:00:00
550e8400-e29b-41d4-a716-446655440408,550e8400-e29b-41d4-a716-446655440205,2026-12-01,2026-12-05,Goa,,PROJECT_DEPLOYMENT,APPROVED,25000,550e8400-e29b-41d4-a716-446655440206,24000,2026-11-20T16:00:00
550e8400-e29b-41d4-a716-446655440409,550e8400-e29b-41d4-a716-446655440207,2027-01-10,2027-01-12,Ahmedabad,Client cancelled,CLIENT_MEETING,REJECTED,10000,550e8400-e29b-41d4-a716-446655440208,0,2026-12-15T12:00:00
550e8400-e29b-41d4-a716-446655440410,550e8400-e29b-41d4-a716-446655440209,2027-02-01,2027-02-03,Coimbatore,,ONSITE_SUPPORT,PENDING,6000,550e8400-e29b-41d4-a716-446655440210,0,2027-01-20T11:00:00
